,N,ORIGINAL,PLUTO,TRACO,3D,DAPT
0,500,0.0395,2.438,1.411,1.353,5.809
1,1000,0.2549,4.387,1.855,2.112,6.536
2,1500,0.8537,5.356,2.545,3.125,7.198
3,2000,2.013,6.184,3.301,3.97,7.534
4,2500,4.0268,7.184,4.081,4.112,8.458
5,3000,8.0636,8.674,5.3,4.837,9.792
6,3500,14.7423,10.747,6.284,5.923,11.108
7,4000,25.3675,12.54,7.11,7.301,12.159
8,4500,38.5209,13.74,7.691,7.851,12.102
9,5000,58.0421,14.742,8.386,8.817,12.775
10,5500,68.5218,13.222,7.809,8.068,9.782
11,6000,108.1098,16.012,8.337,9.843,12.083
12,6500,139.1947,15.419,8.521,9.936,11.84
13,7000,182.963,14.998,8.717,10.194,11.798
14,7500,215.4576,12.482,8.184,9.894,10.667
15,8000,290.5449,14.869,7.266,11.198,11.551
16,8500,345.2298,15.588,7.611,11.0,11.44
17,9000,428.8542,13.594,6.256,11.462,11.371
18,9500,475.3822,11.65,7.723,10.662,10.266
19,10000,607.8533,13.792,6.283,11.796,10.931
20,10500,700.4825,13.84,7.303,11.734,10.869
21,11000,826.3334,13.922,6.178,12.056,10.726
22,11500,916.8744,12.534,7.624,11.719,10.401
23,12000,1101.3227,13.8,5.978,12.3,10.798
