N;ORIGINAL;PLUTO;TRACO;3D;3D_16;DAPT;
 500;0.0328;0.0156;0.0301;0.0310;0.0330;0.0071;
1000;0.2567;0.0483;0.1457;0.1249;0.1489;0.0306;
1500;0.8585;0.1353;0.3623;0.2867;0.3608;0.0869;
2000;2.0222;0.2348;0.6401;0.5149;0.6222;0.1806;
2500;3.9989;0.4008;1.0874;0.8013;0.9242;0.4245;
3000;7.9316;0.7326;1.7273;1.1649;1.4426;0.6505;
3500;14.2811;1.0761;2.4552;1.6008;2.2097;0.8870;
4000;25.4648;1.2903;2.8994;2.1516;3.0817;1.5522;
4500;38.9780;1.8433;3.9827;2.8799;4.0489;2.0320;
5000;58.2808;2.3663;5.1375;4.2464;5.5805;3.1021;
5500;68.7313;3.2048;6.4864;5.6040;7.3576;4.8738;
6000;109.1117;4.2615;8.5176;7.2978;9.0392;6.0431;
6500;139.8808;5.5620;10.7943;8.8372;11.1205;7.7743;
7000;183.8039;6.9831;13.3595;10.9878;13.7457;9.6129;
7500;215.6358;8.4438;17.6495;13.5229;16.6017;13.0184;
8000;290.8529;10.8927;24.7932;15.9099;20.0354;16.0941;
8500;345.0911;15.6105;28.0032;18.9572;24.3027;20.2222;
9000;426.3098;17.3210;41.1662;23.4723;28.9129;24.4658;
9500;475.3197;21.7972;36.9590;26.4019;34.7999;30.7079;
10000;601.5065;24.6189;58.9773;30.0232;39.6703;36.2219;
10500;700.8743;29.3443;56.4257;34.5686;45.6468;42.0011;
11000;827.4926;34.5415;82.3081;39.9047;52.3294;49.5682;
11500;921.4676;38.5902;66.9554;45.1368;60.7720;55.6414;
12000;1102.5609;45.9549;109.1437;52.3590;68.1188;64.8098;
