,N,ORIGINAL,PLUTO,TRACO,3D,DAPT
0,500,0.0248,3.221,0.537,0.743,2.918
1,1000,0.183,2.691,0.897,1.108,3.927
2,1500,0.6144,2.831,1.167,1.672,4.045
3,2000,1.4907,3.556,1.393,2.274,3.462
4,2500,3.1769,4.119,1.883,2.428,3.855
5,3000,6.6111,4.671,2.422,2.922,3.991
6,3500,11.521,5.123,2.801,3.322,4.244
7,4000,20.0244,5.453,3.145,4.074,4.472
8,4500,31.2202,5.806,3.476,4.472,4.562
9,5000,47.0129,6.239,3.917,4.977,4.773
10,5500,72.8787,2.583,2.114,5.312,4.448
11,6000,101.6719,3.233,2.573,5.938,4.159
12,6500,152.9122,4.104,2.872,6.315,5.202
13,7000,162.4452,2.855,2.222,5.606,4.784
14,7500,198.0166,3.803,2.962,6.139,3.706
15,8000,282.1556,4.77,3.459,6.788,4.515
16,8500,325.5567,4.087,3.043,6.719,4.726
17,9000,378.5259,8.069,4.664,7.526,5.298
18,9500,446.107,8.472,5.082,7.573,5.49
19,10000,565.4685,6.216,5.119,8.296,5.003
20,10500,685.883,9.352,5.501,8.752,5.105
21,11000,771.946,6.59,4.315,8.576,5.561
22,11500,901.6527,9.399,5.34,8.336,4.883
23,12000,1041.4824,7.502,4.353,8.599,5.172
