N;PLUTO;TRACO;3D;3D_16;DAPT;
1;626.5668;811.7388;814.0599;1189.2936;988.8392;
2;475.1856;635.5174;466.8113;705.1896;638.1809;
3;353.2259;481.4044;384.9642;485.6273;463.3449;
4;277.3782;386.8852;309.1158;382.1490;363.2447;
5;228.9199;343.6227;256.1163;309.1871;296.9411;
6;194.0157;280.3342;221.6318;258.8775;251.6664;
7;167.7488;271.2396;189.5518;222.7339;217.4865;
8;147.4462;252.4124;169.2601;197.6052;192.8749;
9;132.8412;253.8790;151.6416;178.1041;173.7586;
10;120.0511;227.3608;135.6123;160.5775;156.9289;
11;112.7447;242.8513;125.5578;146.8484;143.4905;
12;102.2283;227.8103;115.4234;136.3961;133.2234;
13;97.2661;214.0260;107.6233;126.0219;123.9900;
14;91.8091;195.7391;101.2991;118.1967;116.0628;
15;83.9003;202.3962;94.8094;111.3607;108.4626;
16;79.4453;180.4247;89.2567;104.7347;102.7498;
17;75.0104;181.1152;84.6326;99.9313;97.1127;
18;70.4688;171.7321;80.2472;95.4325;93.0247;
19;69.6362;166.5380;76.2828;91.0188;87.6974;
20;65.8312;161.5220;73.8334;87.4202;84.6272;
21;63.3099;156.7664;70.2918;83.4704;82.5999;
22;61.1420;146.9898;67.8550;80.7237;78.6419;
23;58.3359;142.4753;64.8976;77.7264;75.6357;
24;56.1267;139.6896;63.1860;75.3725;73.4453;
25;52.7961;132.1195;60.7916;73.8303;70.2803;
26;52.3756;132.2076;58.7727;71.9576;70.4305;
27;51.8489;127.0506;57.6852;70.0654;68.2128;
28;49.9448;125.7401;56.2813;69.2424;67.4611;
29;48.5056;121.8121;55.8229;68.0002;67.2041;
30;47.8248;117.8435;52.9609;69.7418;65.3454;
31;46.6324;116.3785;52.4684;68.2600;67.1285;
32;45.8079;111.3274;52.5815;68.1637;65.3718;
