,N,ORIGINAL,PLUTO,TRACO,3D,DAPT
0,500,0.0277,1.539,0.896,0.979,4.776
1,1000,0.217,3.074,1.427,1.733,7.185
2,1500,0.5398,3.858,1.503,2.2,6.419
3,2000,1.2753,4.332,2.011,2.859,7.329
4,2500,2.6077,5.182,2.849,3.318,6.607
5,3000,5.4983,6.62,3.8,4.254,6.651
6,3500,10.3926,7.684,4.605,5.407,7.047
7,4000,20.718,10.3,5.3,7.686,8.167
8,4500,31.7564,11.189,5.252,8.043,8.083
9,5000,49.1939,12.211,5.386,9.035,8.171
10,5500,69.5994,10.701,6.642,9.598,8.412
11,6000,96.1426,13.002,5.354,10.616,8.94
12,6500,120.7066,11.668,5.738,10.196,8.279
13,7000,164.6033,12.411,5.518,10.919,8.714
14,7500,191.9929,10.926,6.835,10.816,8.207
15,8000,263.1766,11.992,5.139,11.659,9.137
16,8500,311.0147,11.264,6.492,11.823,8.829
17,9000,394.1765,11.88,6.002,12.68,9.298
18,9500,462.638,10.981,7.956,12.906,9.094
19,10000,582.3522,12.991,5.905,13.818,9.799
20,10500,658.8123,12.538,6.713,13.352,9.498
21,11000,795.1807,14.237,6.166,13.918,9.666
22,11500,853.3649,13.888,7.914,13.337,9.13
23,12000,1042.7661,13.342,5.454,14.079,9.85
