N;ORIGINAL;PLUTO;TRACO;3D;3D16;DAPT;
 500;0.0277;0.0180;0.0309;0.0283;0.0346;0.0058;
1000;0.2170;0.0706;0.1521;0.1252;0.1481;0.0302;
1500;0.5398;0.1399;0.3592;0.2454;0.3382;0.0841;
2000;1.2753;0.2944;0.6342;0.4461;0.6442;0.1740;
2500;2.6077;0.5032;0.9153;0.7860;0.9946;0.3947;
3000;5.4983;0.8305;1.4468;1.2926;1.5853;0.8267;
3500;10.3926;1.3525;2.2570;1.9222;2.4529;1.4748;
4000;20.7180;2.0115;3.9090;2.6954;3.4538;2.5367;
4500;31.7564;2.8382;6.0467;3.9483;4.9590;3.9286;
5000;49.1939;4.0288;9.1344;5.4451;7.0604;6.0203;
5500;69.5994;6.5043;10.4786;7.2512;9.8332;8.2742;
6000;96.1426;7.3945;17.9588;9.0562;12.3317;10.7544;
6500;120.7066;10.3453;21.0368;11.8386;15.4329;14.5793;
7000;164.6033;13.2632;29.8321;15.0749;18.9557;18.8895;
7500;191.9929;17.5723;28.0916;17.7504;23.3391;23.3938;
8000;263.1766;21.9457;51.2087;22.5725;28.2915;28.8047;
8500;311.0147;27.6104;47.9099;26.3059;33.1413;35.2266;
9000;394.1765;33.1785;65.6735;31.0874;39.1792;42.3917;
9500;462.6380;42.1312;58.1532;35.8477;46.8719;50.8720;
10000;582.3522;44.8270;98.6195;42.1437;53.4744;59.4274;
10500;658.8123;52.5449;98.1419;49.3431;62.8684;69.3666;
11000;795.1807;55.8546;128.9535;57.1349;71.0756;82.2668;
11500;853.3649;61.4459;107.8353;63.9860;80.6233;93.4655;
12000;1042.7661;78.1569;191.1970;74.0669;92.0371;105.8652;
