N;ORIGINAL;PLUTO;TRACO;3D;3D_16;DAPT;
 500;0.0201;0.0173;0.0274;0.0269;0.0318;0.0057;
1000;0.1514;0.0470;0.1711;0.1271;0.1420;0.0345;
1500;0.5049;0.1327;0.4374;0.3076;0.3341;0.0705;
2000;1.2709;0.2572;0.7004;0.4988;0.5837;0.1572;
2500;2.6838;0.4183;1.0103;0.6277;0.7832;0.2661;
3000;5.3835;0.5499;1.4342;0.9177;1.2368;0.5236;
3500;9.7588;0.9435;2.1211;1.2707;1.7379;0.9385;
4000;18.4297;1.4175;2.7556;1.6392;2.4253;1.5031;
4500;36.2161;1.7867;3.5451;2.3783;3.3509;2.3366;
5000;48.9005;2.5285;4.8334;3.2945;4.3575;3.4604;
5500;69.8345;3.3919;6.1726;4.4813;5.9050;4.8017;
6000;96.4007;4.4499;8.7827;5.7271;7.5998;6.1189;
6500;121.9388;5.6335;9.3364;7.3470;9.7194;8.0698;
7000;165.7043;8.7512;16.2078;9.0633;12.7614;10.5284;
7500;193.5376;10.9526;15.6191;10.6560;13.9839;12.8370;
8000;264.6277;11.4888;27.8718;12.4236;17.4105;16.6852;
8500;311.5416;17.2573;27.8007;14.8672;20.0600;19.6041;
9000;395.5417;21.6480;42.7305;18.0180;23.8960;25.9297;
9500;455.0741;19.1873;33.7273;21.4699;28.9663;30.8349;
10000;572.6988;28.7342;56.2371;24.8213;34.6306;36.7694;
10500;664.2189;31.9692;52.7281;27.3127;37.4824;39.1921;
11000;777.2193;37.9464;78.0893;31.3186;43.8573;50.3023;
11500;869.1672;40.4726;55.9926;36.1843;47.2692;54.0788;
12000;1096.8113;53.8302;96.8787;42.2907;55.8384;61.8006;
