N;ORIGINAL;PLUTO;TRACO;3D;3D16;DAPT;
 500;0.0248;0.0077;0.0462;0.0334;0.0370;0.0085;
1000;0.1830;0.0680;0.2041;0.1652;0.1761;0.0466;
1500;0.6144;0.2170;0.5264;0.3674;0.4296;0.1519;
2000;1.4907;0.4192;1.0699;0.6556;0.8211;0.4306;
2500;3.1769;0.7713;1.6874;1.3087;1.5486;0.8242;
3000;6.6111;1.4153;2.7301;2.2625;2.4519;1.6565;
3500;11.5210;2.2487;4.1126;3.4683;3.7835;2.7149;
4000;20.0244;3.6720;6.3674;4.9146;5.5492;4.4779;
4500;31.2202;5.3774;8.9812;6.9820;7.8818;6.8439;
5000;47.0129;7.5355;12.0008;9.4460;10.4631;9.8503;
5500;72.8787;28.2176;34.4815;13.7209;16.9957;16.3846;
6000;101.6719;31.4489;39.5149;17.1235;21.7016;24.4469;
6500;152.9122;37.2604;53.2374;24.2124;29.9377;29.3969;
7000;162.4452;56.8919;73.0917;28.9758;29.3588;33.9568;
7500;198.0166;52.0673;66.8569;32.2550;38.9731;53.4249;
8000;282.1556;59.1512;81.5642;41.5675;51.0718;62.4986;
8500;325.5567;79.6521;106.9706;48.4564;60.4096;68.8929;
9000;378.5259;46.9122;81.1667;50.2974;56.5928;71.4415;
9500;446.1070;52.6579;87.7899;58.9094;65.8482;81.2537;
10000;565.4685;90.9750;110.4665;68.1621;77.4912;113.0313;
10500;685.8830;73.3400;124.6725;78.3684;89.5233;134.3671;
11000;771.9460;117.1304;178.8923;90.0133;102.2983;138.8264;
11500;901.6527;95.9343;168.8338;108.1623;128.2900;184.6484;
12000;1041.4824;138.8337;239.2429;121.1144;146.4779;201.3744;
