,N,ORIGINAL,PLUTO,TRACO,3D,DAPT
0,500,0.0248,0.061,0.056,0.385,0.803
1,1000,0.183,0.22,0.188,0.947,2.316
2,1500,0.6144,0.474,0.375,1.487,3.345
3,2000,1.4907,0.827,0.599,1.955,4.053
4,2500,3.1769,1.297,0.895,2.491,4.389
5,3000,6.6111,1.998,1.344,3.418,5.133
6,3500,11.521,2.656,1.727,3.98,5.19
7,4000,20.0244,3.508,2.31,4.949,5.585
8,4500,31.2202,4.286,2.855,5.563,5.77
9,5000,47.0129,5.056,3.415,6.012,5.962
10,5500,72.8787,6.418,4.2,7.149,6.188
11,6000,101.6719,7.26,4.876,7.784,6.714
12,6500,152.9122,9.07,5.759,9.4,7.524
13,7000,162.4452,7.978,5.022,8.289,7.044
14,7500,198.0166,8.362,5.307,8.329,5.957
15,8000,282.1556,9.921,6.005,9.842,6.589
16,8500,325.5567,9.516,5.611,9.125,6.102
17,9000,378.5259,9.279,5.212,8.896,5.54
18,9500,446.107,9.566,5.473,9.028,5.707
19,10000,565.4685,10.355,5.728,10.344,6.861
20,10500,685.883,11.778,6.398,10.943,6.139
21,11000,771.946,11.41,6.28,10.732,5.789
22,11500,901.6527,11.74,6.388,10.956,5.942
23,12000,1041.4824,12.101,6.019,11.192,5.622
